anzsco_code,occupation_title,national_rating,nsw,vic,qld,sa,wa,tas,nt,act,skill_level,major_group
141911,Bed and Breakfast Operator,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
141912,Retirement Village Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
141999,Accommodation and Hospitality Managers nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
142111,Retail Manager (General),NS,NS,NS,NS,NS,NS,R,R,NS,2,1
142112,Antique Dealer,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
142113,Betting Agency Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
142114,Hair or Beauty Salon Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
142115,Post Office Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
142116,Travel Agency Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149111,Amusement Centre Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149112,Fitness Centre Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149113,Sports Centre Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149211,Call or Contact Centre Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149212,Customer Service Manager,NS,NS,NS,NS,NS,NS,NS,S,NS,2,1
149311,Conference and Event Organiser,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149411,Fleet Manager,NS,NS,NS,NS,NS,S,NS,S,NS,2,1
149412,Railway Station Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149413,Transport Company Manager,NS,NS,NS,NS,NS,S,NS,NS,NS,2,1
149911,Boarding Kennel or Cattery Operator,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149912,Cinema or Theatre Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149913,Facilities Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149914,Financial Institution Branch Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149915,Equipment Hire Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
149999,"Hospitality, Retail and Service Managers nec",NS,NS,NS,NS,NS,NS,NS,NS,NS,2,1
211111,Actor,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211112,Dancer or Choreographer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211113,Entertainer or Variety Artist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
211199,"Actors, Dancers and Other Entertainers nec",NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
